l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1,156,4,1,17.00,17954.55,0.04,0.02,N,O,1996-03-13,1996-02-12,1996-03-22,DELIVER IN PERSON,TRUCK,to beans x-ray carefull
1,68,9,2,36.00,34850.16,0.09,0.06,N,O,1996-04-12,1996-02-28,1996-04-20,TAKE BACK RETURN,MAIL, according to the final foxes. qui
1,64,5,3,8.00,7712.48,0.10,0.02,N,O,1996-01-29,1996-03-05,1996-01-31,TAKE BACK RETURN,REG AIR,ourts cajole above the furiou
1,3,6,4,28.00,25284.00,0.09,0.06,N,O,1996-04-21,1996-03-30,1996-05-16,NONE,AIR,s cajole busily above t
1,25,8,5,24.00,22200.48,0.10,0.04,N,O,1996-03-30,1996-03-14,1996-04-01,NONE,FOB," the regular, regular pa"
1,16,3,6,32.00,29312.32,0.07,0.02,N,O,1996-01-30,1996-02-07,1996-02-03,DELIVER IN PERSON,MAIL,rouches. special 
2,107,2,1,38.00,38269.80,0.00,0.05,N,O,1997-01-28,1997-01-14,1997-02-02,TAKE BACK RETURN,RAIL,re. enticingly regular instruct
3,5,2,1,45.00,40725.00,0.06,0.00,R,F,1994-02-02,1994-01-04,1994-02-23,NONE,AIR,s cajole above the pinto beans. iro
3,20,10,2,49.00,45080.98,0.10,0.00,R,F,1993-11-09,1993-12-20,1993-11-24,TAKE BACK RETURN,RAIL,ecial pinto beans. sly
3,129,8,3,27.00,27786.24,0.06,0.07,A,F,1994-01-16,1993-11-22,1994-01-23,DELIVER IN PERSON,SHIP,e carefully fina
3,30,5,4,2.00,1860.06,0.01,0.06,A,F,1993-12-04,1994-01-07,1994-01-01,NONE,TRUCK,ackages boost across 
3,184,5,5,28.00,30357.04,0.04,0.00,R,F,1993-12-14,1994-01-10,1994-01-01,TAKE BACK RETURN,FOB,heodolites haggle blit
3,63,8,6,26.00,25039.56,0.10,0.02,A,F,1993-10-29,1993-12-18,1993-11-04,TAKE BACK RETURN,RAIL,telets x-ray quickly mult
4,89,10,1,30.00,29672.40,0.03,0.08,N,O,1996-01-10,1995-12-14,1996-01-18,DELIVER IN PERSON,REG AIR,s. even ideas are above the accounts. 
5,109,10,1,15.00,15136.50,0.02,0.04,R,F,1994-10-31,1994-08-31,1994-11-20,NONE,AIR,arefully regular t
5,124,5,2,26.00,26627.12,0.07,0.08,R,F,1994-10-16,1994-09-25,1994-10-19,NONE,FOB, theodolites. slyly pending dolphins 
5,38,4,3,50.00,46901.50,0.08,0.03,A,F,1994-08-08,1994-10-13,1994-08-26,DELIVER IN PERSON,AIR,odolites. bold accounts alo
6,140,6,1,37.00,38485.18,0.08,0.03,A,F,1992-04-27,1992-05-15,1992-05-02,TAKE BACK RETURN,TRUCK,ly silent ideas! carefull
7,183,4,1,12.00,12998.16,0.07,0.03,N,O,1996-05-07,1996-03-13,1996-06-03,TAKE BACK RETURN,FOB,"bout the silent, ironic sentim"
7,146,3,2,9.00,9415.26,0.08,0.08,N,O,1996-02-01,1996-03-02,1996-02-19,TAKE BACK RETURN,SHIP,ic packages slee
7,95,8,3,46.00,45774.14,0.10,0.07,N,O,1996-01-15,1996-03-27,1996-02-03,COLLECT COD,MAIL,accounts. reque
7,164,5,4,28.00,29796.48,0.03,0.04,N,O,1996-03-21,1996-04-08,1996-04-20,NONE,FOB,ng theodolites run furiously. 
7,152,4,5,38.00,39981.70,0.08,0.01,N,O,1996-02-11,1996-02-24,1996-02-18,DELIVER IN PERSON,TRUCK,"he final, daring excuses. furiously eve"
7,80,10,6,35.00,34302.80,0.06,0.03,N,O,1996-01-16,1996-02-23,1996-01-22,TAKE BACK RETURN,FOB,ely pending deposits. quietly unusual requ
7,158,3,7,5.00,5290.75,0.04,0.02,N,O,1996-02-10,1996-03-26,1996-02-13,NONE,FOB,ithely about 
32,83,4,1,28.00,27526.24,0.05,0.08,N,O,1995-10-23,1995-08-27,1995-10-26,TAKE BACK RETURN,TRUCK,y final gifts cajo
32,198,10,2,32.00,35142.08,0.02,0.00,N,O,1995-08-14,1995-10-07,1995-08-27,COLLECT COD,AIR, accounts. deposits sleep ironicall
32,45,2,3,2.00,1890.08,0.09,0.02,N,O,1995-08-07,1995-10-07,1995-08-23,DELIVER IN PERSON,AIR,lets. furiously ironic platelets boost 
32,3,8,4,4.00,3612.00,0.09,0.03,N,O,1995-08-04,1995-10-01,1995-09-03,NONE,REG AIR, platelets x-ray 
