ps_partkey,ps_suppkey,ps_availqty,ps_supplycost,ps_comment
1,2,3325,771.64,blithely regular theodolites sleep slyly across the sometimes bold dependencies. even accounts among the slyly final sauternes cajole quickly about the doggedly even platelets. carefully final
1,4,8076,993.49,"ts boost carefully ironic, regular accounts. final theodolites cajole slyly. final"
1,6,3956,337.09, fluffily regular multipliers? sheaves integrate slyly ideas. furiously special deposits cajole slyly against the slyly regular pinto beans. blithely pending instructions detect 
1,8,4069,357.84,"press deposits. special courts about the slyly final accounts haggle blithely foxes. carefully unusual sauternes integrate fluffily. pending, pending foxes"
2,3,8895,378.49,sits. furiously regular packages boost blithely? requests affix slyly even packages. slyly express acco
2,5,4969,915.27,deposits doze. slyly express pinto beans haggle blithely against the furiously unusual ideas. furiously regular accounts across the platelets nag carefully acro
2,7,8539,438.37,"s. furiously final dependencies boost slyly slyly regular accounts. final deposits sleep blithely. furiously final deposits mold slyly requests. special, close requests impress carefully unusual"
2,9,3025,306.39,"ecial accounts cajole carefully bold deposits. even, regular foxes above the final d"
3,4,4651,920.92, silent accounts. slyly ironic pinto beans wake above the furiously express dependencies. slyly unusual accounts cajole af
3,6,4093,498.13,"cross the furiously special theodolites. regular, ironic ideas around the furiously express accounts haggle according to the furiously silent pains. carefully bold deposits sleep slyl"
3,8,3917,645.40,regular theodolites boost. special theodolites haggle along the furiously ironic accounts! slyly special packag
3,10,9942,191.92,to beans. foxes use. slyly regular theodolites sleep slyly silent packages. unusual instructions use carefully foxes. carefu
4,5,1339,113.97,"lar theodolites wake furiously. carefully final theodolites are grouches. even, brave requests was furiously above the final, unusual accounts. silent acco"
4,7,6377,591.18,"e closely silent pinto beans. packages integrate alongside of the slyly express ideas. special, final platelets affix carefully silent pinto beans. slyly"
4,9,2694,51.37,"in carefully across the carefully brave theodolites. pending, express platelets haggle furiously among the slyly special foxes. packages"
4,1,2480,444.37,es. furiously brave excuses sleep. carefully regular theodolites along the silent exc
5,6,3735,255.88,"nt, even theodolites. blithely pending deposits alongside of the spec"
5,8,9653,50.52,osits around the pinto beans sleep carefully ironic instruct
5,10,1329,219.83," regular asymptotes. blithely even requests cajole ironic accounts. unusual, final packages cajole carefully regular packag"
5,2,6925,537.98, accounts wake! regular forges haggle carefully. carefully regular accounts affix quickly across the fluffily final patterns. packages cajole furiously final foxes. carefully silent excu
6,7,8851,130.72, theodolites cajole carefully fluffily ironic dependencies. busily ironic dolphins doubt carefully pendin
